Market,Universe,Share %,Ctrl Reach (000),FC Reach (000)
Calgary  Total,1235000,92,1731.5,1731.5
Edmonton  Total,1174000,90,1581.1,1581.1
Grande Prairie ,,,,
Halifax ,369170,46.8,374.1,484.9
Hamilton ,683590,31,419.9,1254.9
Kelowna ,175050,71.7,189.8,230.8
Kingston ,151780,62,161.6,236.6
Kitchener,456930,46.1,406.3,648.7
Lethbridge ,102560,74.2,116.1,221.2
London ,448180,53.4,455.2,784.8
Medicine Hat ,,,,
Moncton ,134790,76.1,162.7,285.1
Montreal  Total,2738000,98,4082.3,4082.3
Ottawa Gatineau  FM,1170620,58.6,628.4,803
Peterborough ,110880,63.8,137.3,279.6
Quebec City  FM,719360,69.9,925.3,1421.3
Red Deer ,92090,70.8,113.8,283.2
Regina ,207950,84.4,276.7,421.5
Saint John ,111180,88,156.6,247.3
Saskatoon ,265180,79.1,343.1,464.2
St Catherines,367520,42.7,255.1,538.9
St Johns ,187610,89.8,330.2,546.6
Sudbury ,147920,88.4,218.6,325.4
Timmins ,,,,
Toronto  Total,5321000,64,5468.5,5468.5
Vancouver  Total,2229000,85.4,2864,2864
Victoria ,343560,66.6,368.9,494.8
Windsor,292560,44.3,240.7,356.4
Winnipeg Total,705460,36,568.6,697.3
